,vac_name,salary_min,salary_max,currency,href,host
72,Python разработчик junior,30000.0,60000.0,руб.,https://hh.ru/vacancy/67348650?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
73,Backend Developer на Python (Middle/Senior),130000.0,,руб.,https://hh.ru/vacancy/55551158?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
74,Разработчик Python / Django,500000.0,700000.0,KZT,https://hh.ru/vacancy/66996212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
75,Lead Python Developer,180000.0,300000.0,руб.,https://hh.ru/vacancy/66996417?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
76,Middle Python-разработчик,180000.0,,руб.,https://hh.ru/vacancy/67122497?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
77,Python Developer (Москва),,270000.0,руб.,https://hh.ru/vacancy/55895633?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
78,Python Developer (Москва),,270000.0,руб.,https://hh.ru/vacancy/66102444?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
79,Python разработчик,120000.0,230000.0,руб.,https://hh.ru/vacancy/55875763?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
80,Senior Python engineer,4000.0,6500.0,USD,https://hh.ru/vacancy/66993091?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
81,"Программист JavaScript, Python",60000.0,,руб.,https://hh.ru/vacancy/67607743?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
82,Python developer (Middle),300000.0,360000.0,руб.,https://hh.ru/vacancy/54880229?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
83,Разработчик C# / Python,300000.0,500000.0,руб.,https://hh.ru/vacancy/54951058?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
